report_path,dataset,vtype,classifier,run_id,method,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,predicted_anomalies,true_anomalies,tn,fp,fn,tp,time_total,time_vectorization,time_feature_extraction,time_training,time_inference,vec_params,cls_params
runs/100K/v4/svm/20260324-161631/report-config-2026-03-24-16_49_53.json,100K,v4,svm,20260324-161631,v4+svm,0.99998,0.9999243232872179,0.9999243232872179,0.9999243232872179,0.9998924089039034,7113,7113,92886,1,1,7112,1994.9744186401367,611.9243957996368,1240.980798482895,140.16637873649597,0.17354774475097656,{},"{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v1/lr/20260324-143952/report-config-2026-03-24-14_41_09.json,100K,v1,lr,20260324-143952,v1+lr,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9999787030594889,7111,7113,92887,0,2,7111,72.29650640487671,59.369643449783325,2.6324193477630615,6.575375556945801,2.0506467819213867,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v1/rf/20260324-143633/report-config-2026-03-24-14_38_34.json,100K,v1,rf,20260324-143633,v1+rf,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9999999818375889,7111,7113,92887,0,2,7111,117.77403402328491,59.56621432304382,2.5989370346069336,52.657700061798096,1.2902066707611084,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v1/svm/20260324-143835/report-config-2026-03-24-14_39_52.json,100K,v1,svm,20260324-143835,v1+svm,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9998787099053559,7111,7113,92887,0,2,7111,71.96970701217651,60.685827016830444,2.6473898887634277,4.915393114089966,2.049746513366699,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v2/svm/20260324-144130/report-config-2026-03-24-14_41_50.json,100K,v2,svm,20260324-144130,v2+svm,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9999999394586299,7111,7113,92887,0,2,7111,20.113718271255493,0.9545855522155762,1.9850342273712158,15.506165504455566,0.005625486373901367,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v5/rf/20260324-172119/report-config-2026-03-24-17_21_40.json,100K,v5,rf,20260324-172119,v5+rf,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9999999651887121,7111,7113,92887,0,2,7111,20.467204332351685,9.438978433609009,6.628384113311768,2.598325729370117,0.13559794425964355,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v2/rf/20260324-144121/report-config-2026-03-24-14_41_29.json,100K,v2,rf,20260324-144121,v2+rf,0.99996,0.9999784693888536,0.9997188246871924,0.9998486072653383,0.9999996072378606,7109,7113,92887,0,4,7109,7.394700050354004,0.9449529647827148,1.9706323146820068,2.6585588455200195,0.15763163566589355,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v3/rf/20260324-144224/report-config-2026-03-24-14_42_39.json,100K,v3,rf,20260324-144224,v3+rf,0.99995,0.9999730870257935,0.9996485308589906,0.9998107467932333,0.9999997790239986,7108,7113,92887,0,5,7108,14.478667974472046,3.710953712463379,6.179306268692017,2.7827067375183105,0.13210368156433105,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v4/rf/20260324-154524/report-config-2026-03-24-16_16_30.json,100K,v4,rf,20260324-154524,v4+rf,0.99995,0.9999730870257935,0.9996485308589906,0.9998107467932333,0.999999993945863,7108,7113,92887,0,5,7108,1859.6193096637726,613.7715198993683,1234.8435747623444,8.869881629943848,0.4187145233154297,{},"{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v2/lr/20260324-144151/report-config-2026-03-24-14_41_57.json,100K,v2,lr,20260324-144151,v2+lr,0.99971,0.9980979452579842,0.9997140744599311,0.9989044652105011,0.9999985076552239,7138,7113,92860,27,2,7111,5.606432676315308,0.9429302215576172,1.9793782234191895,1.010251522064209,0.012891054153442383,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
