index,label,text
3915,1,dfs.DataNode$DataXceiver: Receiving block blk_8375513663514265665 src: /10.251.71.16:58969 dest: /10.251.71.16:50010
5134,1,dfs.DataNode$DataXceiver: Receiving block blk_36823128057191339 src: /10.251.125.237:52727 dest: /10.251.125.237:50010
8993,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000037_0/part-00037. blk_8924088331610259195
10235,1,dfs.DataNode$DataXceiver: Receiving block blk_1694784607440106362 src: /10.250.7.244:34116 dest: /10.250.7.244:50010
11993,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000184_0/part-00184. blk_52982050234241631
12748,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000500_0/part-00500. blk_-3255272166489625549
14793,1,dfs.DataNode$DataXceiver: Receiving block blk_-3172177652661838345 src: /10.251.123.1:51497 dest: /10.251.123.1:50010
15119,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001372_0/part-01372. blk_1608228073425061762
15328,1,dfs.DataNode$DataXceiver: Receiving block blk_-1668967574506009130 src: /10.251.215.70:45462 dest: /10.251.215.70:50010
16403,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001920_0/part-01920. blk_5222451618639933040
16549,1,dfs.DataNode$DataXceiver: Receiving block blk_-7798284514049087461 src: /10.251.126.22:42463 dest: /10.251.126.22:50010
29749,1,dfs.DataNode$DataXceiver: Receiving block blk_-7707247868575220446 src: /10.251.203.80:37140 dest: /10.251.203.80:50010
31478,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_000325_0/part-00325. blk_8427254544368294426
34450,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_001242_0/part-01242. blk_-8806663198880208724
35426,1,dfs.DataNode$DataXceiver: Receiving block blk_-5131984884920150464 src: /10.251.30.134:43039 dest: /10.251.30.134:50010
36077,1,dfs.DataNode$DataXceiver: Receiving block blk_2344438813772035430 src: /10.251.75.143:49086 dest: /10.251.75.143:50010
53395,1,dfs.DataNode$DataXceiver: Receiving block blk_-1726073040906036496 src: /10.251.71.97:44514 dest: /10.251.71.97:50010
63784,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand4/_temporary/_task_200811101024_0009_m_001826_1/part-01826. blk_7392810558101337935
65196,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt4/_temporary/_task_200811101024_0010_m_001320_0/part-01320. blk_1506697408328732571
65299,1,dfs.DataNode$DataXceiver: Receiving block blk_3965791480337881110 src: /10.250.14.196:50170 dest: /10.250.14.196:50010
65419,1,dfs.DataNode$DataXceiver: Receiving block blk_3476204018256066044 src: /10.251.110.160:37094 dest: /10.251.110.160:50010
69041,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand5/_temporary/_task_200811101024_0011_m_000346_0/part-00346. blk_5158005262124853616
75383,1,dfs.DataNode$DataXceiver: Receiving block blk_792787582557551381 src: /10.250.11.53:52807 dest: /10.250.11.53:50010
76918,1,dfs.DataNode$DataXceiver: Receiving block blk_-2189562723944267919 src: /10.251.107.98:43204 dest: /10.251.107.98:50010
77575,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/randtxt5/_temporary/_task_200811101024_0012_m_001987_1/part-01987. blk_6270895657788559766
87023,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand6/_temporary/_task_200811101024_0013_m_001711_0/part-01711. blk_-7669876903044464925
97265,1,dfs.DataNode$DataXceiver: Receiving block blk_8561725939676191583 src: /10.251.42.191:39779 dest: /10.251.42.191:50010
97756,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand8/_temporary/_task_200811101024_0015_m_001581_0/part-01581. blk_-9204872215057582667
98536,1,dfs.DataNode$DataXceiver: Receiving block blk_4083668073661793045 src: /10.250.17.225:38834 dest: /10.250.17.225:50010
99069,1,dfs.DataNode$DataXceiver: Receiving block blk_-6901148813805534079 src: /10.250.6.223:49067 dest: /10.250.6.223:50010
