index,label,text
97205,1,dfs.DataNode$DataXceiver: Receiving block blk_-1716295386405014363 src: /10.250.5.161:35929 dest: /10.250.5.161:50010
97225,1,dfs.DataNode$DataXceiver: Receiving block blk_-8497592682221017946 src: /10.251.123.99:32967 dest: /10.251.123.99:50010
97270,1,dfs.DataNode$DataXceiver: Receiving block blk_-1541612089083514964 src: /10.251.201.204:33379 dest: /10.251.201.204:50010
97434,1,dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000012_0/part-00012. blk_-2609147762147790302
97447,1,dfs.DataNode$DataXceiver: Receiving block blk_8582181734275842017 src: /10.251.122.65:46572 dest: /10.251.122.65:50010
97535,1,dfs.DataNode$PacketResponder: Received block blk_7834522543694883059 of size 67108864 from /10.250.14.224
97762,1,dfs.DataNode$PacketResponder: Received block blk_8938338692959143642 of size 67108864 from /10.251.30.85
97827,1,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.214:50010 is added to blk_8838837797955603502 size 67108864
97853,1,dfs.DataNode$DataXceiver: Receiving block blk_-4947327318483033747 src: /10.251.126.5:53452 dest: /10.251.126.5:50010
97889,1,dfs.DataNode$DataXceiver: Receiving block blk_6020581958434707871 src: /10.251.201.204:46802 dest: /10.251.201.204:50010
98323,1,dfs.DataNode$DataXceiver: Receiving block blk_6445911672318944838 src: /10.251.123.132:32783 dest: /10.251.123.132:50010
98389,1,dfs.DataNode$DataXceiver: Receiving block blk_4570709986087805683 src: /10.251.35.1:49330 dest: /10.251.35.1:50010
98432,1,dfs.DataNode$PacketResponder: Received block blk_-2514128292967219002 of size 67108864 from /10.251.203.179
98446,1,dfs.DataNode$DataXceiver: Receiving block blk_5821344169343581408 src: /10.251.31.160:57825 dest: /10.251.31.160:50010
98618,1,dfs.DataNode$PacketResponder: Received block blk_8222688825752575045 of size 67108864 from /10.251.203.166
98640,1,dfs.DataNode$DataXceiver: Receiving block blk_3874529700922305753 src: /10.251.202.181:55864 dest: /10.251.202.181:50010
98717,1,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.160:50010 is added to blk_8318715057179023964 size 67108864
98837,1,dfs.DataNode$DataXceiver: Receiving block blk_-4581062568882987264 src: /10.251.107.196:47191 dest: /10.251.107.196:50010
98846,1,dfs.DataNode$DataXceiver: Receiving block blk_-8137778231832718377 src: /10.251.199.245:50501 dest: /10.251.199.245:50010
98848,1,dfs.DataNode$DataXceiver: Receiving block blk_-8137778231832718377 src: /10.251.199.245:43692 dest: /10.251.199.245:50010
99099,1,dfs.DataNode$DataXceiver: Receiving block blk_-2373387387765082933 src: /10.251.110.8:42670 dest: /10.251.110.8:50010
99249,1,dfs.DataNode$PacketResponder: Received block blk_8701833450529760976 of size 67108864 from /10.251.203.166
99298,1,dfs.DataNode$DataXceiver: Receiving block blk_-21694600313078282 src: /10.251.106.214:49457 dest: /10.251.106.214:50010
99506,1,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.126.5:50010 is added to blk_697603576292684838 size 67108864
99615,1,dfs.DataNode$DataXceiver: Receiving block blk_-3801954706993121284 src: /10.251.31.5:60424 dest: /10.251.31.5:50010
99832,1,dfs.DataNode$DataXceiver: Receiving block blk_8042905975540419743 src: /10.251.27.63:57921 dest: /10.251.27.63:50010
100065,1,dfs.DataNode$DataXceiver: Receiving block blk_4758745081489536518 src: /10.251.123.132:48677 dest: /10.251.123.132:50010
100141,1,dfs.DataNode$PacketResponder: Received block blk_6502202148676054256 of size 67108864 from /10.251.75.163
100460,1,dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.15.101:50010 is added to blk_7613371371458496079 size 67108864
100468,1,dfs.DataNode$DataXceiver: Receiving block blk_8398679968429681157 src: /10.251.90.64:49331 dest: /10.251.90.64:50010
